room_image_id,room_id,ulid,url
48,14,69E39F919845F83C83E9FC7496A791B63523B177,https://cf.bstatic.com/images/hotel/max1024x768/431/431498030.jpg
49,14,E5C8BEF41DC9F58FB20D3F415D825A2915BE7D83,https://cf.bstatic.com/images/hotel/max1024x768/431/431498022.jpg
50,14,45BB63C900C25B4D87191A84A8567735AC66C37C,https://cf.bstatic.com/images/hotel/max1024x768/431/431498017.jpg
51,14,DAB419127EA99FE1E7EDECD0EEE6394B88003B86,https://cf.bstatic.com/images/hotel/max1024x768/431/431498010.jpg
52,15,A0946BC4A20FA0AC736ACD7D459A62BF9648D1B6,https://cf.bstatic.com/images/hotel/max1024x768/431/431505878.jpg
53,15,67FFD9EA145378B13D60C6670F5CD427863D3573,https://cf.bstatic.com/images/hotel/max1024x768/431/431505852.jpg
54,15,DC65719632621908F4162887BED8A4988C80BB16,https://cf.bstatic.com/images/hotel/max1024x768/431/431505904.jpg
55,15,C20317C3E7E4645BA822F318415B748143936E38,https://cf.bstatic.com/images/hotel/max1024x768/431/431505933.jpg
56,15,49649D5116F23F09BB498A5A419803B00A991E7F,https://cf.bstatic.com/images/hotel/max1024x768/431/431505968.jpg
57,15,8F9191234742D834DE9C77F2DB5B8B6BF9C857E3,https://cf.bstatic.com/images/hotel/max1024x768/431/431505993.jpg
58,15,4232A6B474C9B3D590364E5D49094408D3F210D3,https://cf.bstatic.com/images/hotel/max1024x768/431/431506025.jpg
59,15,60FE3C3070CD9F27AB2648BB12BE13CE852BF049,https://cf.bstatic.com/images/hotel/max1024x768/280/28039411.jpg
60,15,96308954CD0A8257C74ACD28F887A5FB7C839002,https://cf.bstatic.com/images/hotel/max1024x768/280/28039416.jpg
61,15,69E39F919845F83C83E9FC7496A791B63523B177,https://cf.bstatic.com/images/hotel/max1024x768/431/431498030.jpg
62,15,E5C8BEF41DC9F58FB20D3F415D825A2915BE7D83,https://cf.bstatic.com/images/hotel/max1024x768/431/431498022.jpg
63,15,45BB63C900C25B4D87191A84A8567735AC66C37C,https://cf.bstatic.com/images/hotel/max1024x768/431/431498017.jpg
64,15,DAB419127EA99FE1E7EDECD0EEE6394B88003B86,https://cf.bstatic.com/images/hotel/max1024x768/431/431498010.jpg
65,16,6E22C74847976B35DB6E907529DBC4117DAAAA0D,https://cf.bstatic.com/images/hotel/max1024x768/431/431506142.jpg
66,16,D8BCD143D33B44D85A7C3E5E74E950C6652B02DB,https://cf.bstatic.com/images/hotel/max1024x768/431/431506173.jpg
67,16,4FC237CF6658A4B4C89D130CB9EC104F20E7B09B,https://cf.bstatic.com/images/hotel/max1024x768/431/431506213.jpg
68,16,7FCB3859AC2995BE0AB1C3B39FB3AE74132F1248,https://cf.bstatic.com/images/hotel/max1024x768/431/431506238.jpg
69,16,EDF23BD9FFCCB5DC57C8AABF52DACC4584F18CCD,https://cf.bstatic.com/images/hotel/max1024x768/431/431506264.jpg
70,16,2CA1DCCA6C28E519DD91F7B0812B25433E4280B4,https://cf.bstatic.com/images/hotel/max1024x768/431/431506281.jpg
71,16,68F3FA32D2A1035F53736F7751DB36EF82E1DE23,https://cf.bstatic.com/images/hotel/max1024x768/431/431506302.jpg
72,16,2101A1A825457138B6A2E1B86B5750CEC6196157,https://cf.bstatic.com/images/hotel/max1024x768/431/431506325.jpg
73,16,209874C16A0426A12336D39822ACEE2863D76B40,https://cf.bstatic.com/images/hotel/max1024x768/431/431506347.jpg
74,16,7085BDABAFA7C939583DF6F0847D1DAB1CD2D755,https://cf.bstatic.com/images/hotel/max1024x768/431/431506378.jpg
75,16,ADC378CCCDC0024AAF6D852AC9EBA3EA929499E6,https://cf.bstatic.com/images/hotel/max1024x768/431/431506402.jpg
76,16,B928E3AD9BE99755927B58CEAEF65B654D8A593B,https://cf.bstatic.com/images/hotel/max1024x768/431/431506437.jpg
77,16,50C2A9A2398EC5DFF46A972F089D83D42D295534,https://cf.bstatic.com/images/hotel/max1024x768/280/28037073.jpg
78,16,46A935A1B5889BCC05399C868D4074EC8CF4B76E,https://cf.bstatic.com/images/hotel/max1024x768/280/28037377.jpg
79,16,69E39F919845F83C83E9FC7496A791B63523B177,https://cf.bstatic.com/images/hotel/max1024x768/431/431498030.jpg
80,16,E5C8BEF41DC9F58FB20D3F415D825A2915BE7D83,https://cf.bstatic.com/images/hotel/max1024x768/431/431498022.jpg
81,16,45BB63C900C25B4D87191A84A8567735AC66C37C,https://cf.bstatic.com/images/hotel/max1024x768/431/431498017.jpg
82,16,DAB419127EA99FE1E7EDECD0EEE6394B88003B86,https://cf.bstatic.com/images/hotel/max1024x768/431/431498010.jpg
83,17,99AB5FB281A094B0353DF05F3FF2547A94AF900B,https://cf.bstatic.com/images/hotel/max1024x768/133/133333921.jpg
84,17,673AD3E3B12B63E62D5701B4B4A9ED1AADB67024,https://cf.bstatic.com/images/hotel/max1024x768/118/118491698.jpg
85,17,0A881387350957DF47B7A94688EE1C63022037FE,https://cf.bstatic.com/images/hotel/max1024x768/118/118491701.jpg
86,17,10A25414E2C36658F47C9FAB3C2A58A5C37FC811,https://cf.bstatic.com/images/hotel/max1024x768/118/118491702.jpg
87,17,C67B247C55E2900A7E328096DEA5517CAB95C31E,https://cf.bstatic.com/images/hotel/max1024x768/118/118491703.jpg
88,17,CA88E65B5E0066B7AA2E02B9A17FFDB465F9D9FD,https://cf.bstatic.com/images/hotel/max1024x768/118/118491705.jpg
89,18,99AB5FB281A094B0353DF05F3FF2547A94AF900B,https://cf.bstatic.com/images/hotel/max1024x768/133/133333921.jpg
