hotel_image_id,hotel_id,ulid,url
26,2,101E8C2DC846D0D8206E45A3B19CD004B28979AF,https://cf2.bstatic.com/xdata/images/hotel/max1024x768/220501197.jpg?k=eb3c74c649cac7f5e4963a3cbe444198d4ffddd80c1c39c7ecce9e6021d1b386&o=&hp=1
27,2,F22F25998C7096063885045F841B2C038BB572E4,https://cf2.bstatic.com/xdata/images/hotel/max1024x768/220510464.jpg?k=13b25161c9393bacc127ed3d522f4ad655a75a0e0dbdc063158b3c45d8451c41&o=&hp=1
28,2,3C875A7B050DE1A52CEAEA55F78206E324708A24,https://cf2.bstatic.com/xdata/images/hotel/max1024x768/220469099.jpg?k=75bd3ba08eacfc488d53d7ba448adf76ee36ff3e1bd38b1847bdad332a0db1da&o=&hp=1
29,2,9AA491F5D90C368205F1F094B7BF4A02D58CE32A,https://cf2.bstatic.com/xdata/images/hotel/max1024x768/220457791.jpg?k=3dcd24ff52cd5f7d4e6cd07e9e24162c00d3e265898eca3c85c554643bfdb8cf&o=&hp=1
30,2,8B1B02907140A9968AF4EE027DD43D5C51EBAC81,https://cf2.bstatic.com/xdata/images/hotel/max1024x768/220469181.jpg?k=83f33eef2610bd13a89219fad91ed3bd8ecf733cf31a2ba4c615a158851935cc&o=&hp=1
31,2,67DFC918849E8D22615F5A03CF0AA4B261DB24A5,https://cf2.bstatic.com/xdata/images/hotel/max1024x768/220468546.jpg?k=0b7fe34b5277af50c029dcfb67bdeefce9be7757ab65093cc1a6f72ee84a3225&o=&hp=1
32,2,84DA4EB2C23E7F6E4FA68327A7DEAB581F9107C5,https://cf2.bstatic.com/xdata/images/hotel/max1024x768/220469671.jpg?k=387ad4b5ee52f0877a736737997615bb2cc6b8e482f7f1a3d4887a183cada4de&o=&hp=1
33,2,DAB2B16A1BF832A746AE4E05B71A70B35420D9C4,https://cf2.bstatic.com/xdata/images/hotel/max1024x768/220471730.jpg?k=1ce8fe353cffaa5f6a210cd715c8ef942fcc030433127515616dd55257619df9&o=&hp=1
34,2,8E476978080D82602DC3C1FD6270B81376575BAB,https://cf2.bstatic.com/xdata/images/hotel/max1024x768/220468558.jpg?k=36150fae8ec14c056bbb91eacb4353db00d48f4fe1553ee14ef193cfbe090e14&o=&hp=1
35,2,A4654F3423ACDF584675A857A09252CD1E3775B5,https://cf2.bstatic.com/xdata/images/hotel/max1024x768/220468536.jpg?k=f5f840d627e1bc9ce81582bfd2d68ca5ab3b2fb3ae9834a815b43e08a4bdd97d&o=&hp=1
